fips,state,county,total_population,nonwhite_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,college_pct
05003,Arkansas,Ashley,18429,32.747300450377125,52.2817298822508,35.94335015464757,21.504151066254273,44266,5.476326297775242,12.789338321253215
05005,Arkansas,Baxter,42407,8.545758954889527,51.05760841370528,28.26420166481949,30.985450515245123,48452,6.335128286347799,19.445045267744028
05007,Arkansas,Benton,303632,41.951111872266424,49.83137482215313,40.795107235074035,13.753161722084629,93506,3.0786191778028433,37.75151692847453
05009,Arkansas,Boone,38138,7.501704336881854,50.58209659657035,35.83564948345482,21.19408463999161,55143,2.534067845752392,17.192995584823766
05011,Arkansas,Bradley,10208,46.13048589341693,51.41065830721003,38.01920062695925,18.955721003134798,41476,6.618004866180049,15.309683047397499
05013,Arkansas,Calhoun,4704,27.593537414965986,49.234693877551024,32.929421768707485,23.767006802721088,66809,5.589123867069486,19.7953216374269
05015,Arkansas,Carroll,28626,29.707259135052055,48.92405505484525,33.74205267938238,23.422762523579962,54230,4.707480818414322,19.98139443791618
05017,Arkansas,Chicot,9765,61.4132104454685,48.78648233486943,34.644137224782384,22.314388120839734,39045,9.063609063609064,17.992978349912228
05019,Arkansas,Clark,21125,32.653254437869826,52.16094674556213,47.39881656804734,16.42603550295858,52034,3.808080808080808,26.18739903069467
05021,Arkansas,Clay,14280,6.540616246498598,51.12044817927171,34.34873949579832,21.792717086834735,51481,6.2995729103111655,15.283074215312409
05023,Arkansas,Cleburne,25226,8.515024181400143,50.14270990248156,29.77483548719575,27.39237294854515,55798,6.431168831168831,18.42580782312925
05025,Arkansas,Cleveland,7453,16.5436736884476,51.10693680397156,34.200992888769626,21.199516973030995,54794,2.183098591549296,19.70748171760735
05027,Arkansas,Columbia,22349,41.84527271913731,51.6443688755649,44.955031545035574,17.472817575730456,55334,3.2116058029014507,21.928883165199974
05029,Arkansas,Conway,21054,20.56616319939204,50.308729932554385,36.15939963902346,19.74921630094044,54187,6.408573928258968,19.937098318063722
05031,Arkansas,Craighead,113249,29.21968405902039,51.30288126164469,43.21097758037599,13.883566300806189,59548,5.573062032952192,29.68930914704747
05033,Arkansas,Crawford,61139,20.698735667904288,50.72212499386644,37.62737368946172,17.916550810448324,64132,4.06087546146312,20.041257885773227
